source	matched_on	person:name	person:alias	person:org	person:role	person:title	person:rank
b7fde9d1-2bfa-4bb9-a08c-f2e29c756081	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
b917cf37-9202-4c84-bfc6-517196ff9d04	alias	Kamaldeen Role	KA Role	1 Mechanised Division	Commander	General Officer Commanding	Major General
ba9dfc0a-9100-4268-a0be-8ff285891d30	name	Ibrahim Attahiru	I. Attahiru ; I Attahiru	82 Division	Commander	General Officer Commanding	Major General
baee185f-1173-44ac-86cc-39571202c0a6	alias	Ebiobowei Bonna Awala	Ebobowei Bona Awala ; Ebiobowei Awala ; E.B Awala ; EB Awala	3 Armoured Division	Commander	General Officer Commanding	Major General
bb18283d-e1f4-438e-b7d7-be275b5086f8	name	Ibrahim Attahiru	I. Attahiru ; I Attahiru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
bb63b226-f564-47bc-a3f4-c4cbd582051e	alias	Adamu T. Ibrahim	Adamu Ibrahim ; A. T. Ibrahim ; AT Ibrahim	82 Division	Commander	General Officer Commanding	Major General
bbac1cf1-2414-4be2-b566-32d40004b45a	name	Joseph Shoboiki	J.O Shoboiki ; Shoboiki ; J.O Shobeke	1 Mechanised Division	Commander	General Officer Commanding	Major General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Emeka CG Nwanguna	Eugene Nwanguma ; Eugene Nwanjuma	81 Division	Commander	General Officer Commanding	Major General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Kamaldeen Role	KA Role	1 Mechanised Division	Commander	General Officer Commanding	Major General
bf0b4628-a7a4-478b-9604-be6f2f6df284	name	Jonathan Ango		Western Naval Command	Commander	Flag Officer Commanding	Rear Admiral
bf0b4628-a7a4-478b-9604-be6f2f6df284	alias	Tamunomieibi I. Dibi	Tamunomieibi Dibi ; Tamunomeibi Dibi ; Tanmi Dibi ; T.I. Debi ; TI Dibi ; Tammy Dibi	81 Division	Commander	General Officer Commanding	Major General
bf32e1a3-4e23-4036-86c3-d7367c8d1da9	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
bf7f6415-99a0-40ef-adf4-709e3d53935b	alias	Obida T. Ethnan	Obidah T. Ethan ; Obidah Ethan ; O. T. Etan ; OT Ethan	7 Division	Commander	General Officer Commanding	Major General
c33d75b1-a026-40e6-92a3-fe0ee1aa75c2	name	Texas Chukwu		Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
c33d75b1-a026-40e6-92a3-fe0ee1aa75c2	name	Abdulmalik Bulama Biu	Bulama Biu;Abdulmalik Biu	7 Division	Commander	Acting General Officer Commanding	Brigadier General
c3f65f09-5a83-4bc8-ad01-d23b404f4989	alias	Lamidi Adeosun	Adeosun;LO Adeosun;O Adeosun	7 Division	Commander	General Officer Commanding	Major General
c69e5624-93f3-41cd-8601-d5324ae8d29d	name	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
c82d8cda-c2cd-4299-801c-0b3a736ab122	alias	Mohammad Danhanne Issa	Mohammed D. Isah ; Mohammed Isah ; MD Isah	82 Division	Commander	General Officer Commanding	Major General
c8bc3668-4ee8-4c50-b2e4-b82816c141ef	name	Saleh Maina	S. Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
c90dca61-35e9-4004-bd34-88344c4bbf26	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
ca6cd9b7-d92f-4c50-9c15-c661c2c4376d	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	81 Division	Commander	General Officer Commanding	Major General
ca6cd9b7-d92f-4c50-9c15-c661c2c4376d	alias	Obi Abel Umahi	Obi Abel Omahi;Obi A. Umahi;Obi Omahi;Abel Umahi;Obi Umahie;OA Umahi;Obi Umahi;Unahi Obi	81 Division	Commander	General Officer Commanding	Major General
ca6cd9b7-d92f-4c50-9c15-c661c2c4376d	alias	Ahmed Tijani Jibrin	AT Jibrin ; A. T Jibrin ; Ahmad Jibrin	2 Mechanised Division	Commander	General Officer Commanding	Major General
ca6cd9b7-d92f-4c50-9c15-c661c2c4376d	alias	Mohammed Abubakar	MD Abubakar ; M.D. Abubakar ; M.D Abubakar ; MD Mohammed	2 Mechanised Division	Commander	General Officer Commanding	Major General
ca9507f3-f385-4b3c-8a18-13a5eca53c9f	name	Mohammed Sani Saleh	Sani Saleh ; Maina Saleh ; MS Saleh	2 Mechanised Division	Commander	General Officer Commanding	Major General
cd2518d9-5399-4a89-aca4-cade1f015461	name	Adamu Marwa	Adamu Buba Marwa	3 Armoured Division	Commander	General Officer Commanding	Major General
cfa4d127-c092-4d43-a409-897f5a4081cc	name	Ola Sa'ad Ibrahim	Ola Sa'ad Ibrahim ; Ola Ibrahim ; Ole Sa'ad Ibrahim ; Ola Ibrahim Sa'ad ; Ola Saa'ad Ibrahim	Defence Headquarters	Commander	Chief of Defence Staff	Admiral
cfa4d127-c092-4d43-a409-897f5a4081cc	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
cfa4d127-c092-4d43-a409-897f5a4081cc	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
cfa4d127-c092-4d43-a409-897f5a4081cc	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
cfa4d127-c092-4d43-a409-897f5a4081cc	alias	Alex Sabunduh Badeh	Alex Badeh ; Alex Sabundu Badeh	Defence Headquarters	Commander	Chief of Defence Staff	Air Chief Marshal
d0242be6-748c-49c1-805e-781982d2ade8	alias	Obi Abel Umahi	Obi Abel Omahi;Obi A. Umahi;Obi Omahi;Abel Umahi;Obi Umahie;OA Umahi;Obi Umahi;Unahi Obi	81 Division	Commander	General Officer Commanding	Major General
d0381937-4a5a-496e-ad2f-c3ee9043a93f	name	Chris Olukolade		Defence Headquarters	Director of Defence Information	Director of Defence Information	Brigadier General
d13c203d-33ed-425a-aba6-4f53ed199fc7	name	RA Ojuawo		Tactical Air Command	Commander	Air Officer Commanding	Air Vice Marshal
d1c0ca05-e9e9-4615-b996-ced14ae53311	alias	Adebayor Olanniyi	Adebayo Olaniyi ; Adebayor Olaniyi	82 Division	Commander	General Officer Commanding	Major General
d43c3d21-d486-4423-842e-90adae33724d	alias	Hassan Umoru	Hassan Umar ; Hassan Umaru ; HA Umaru ; H. Umaru ; H Umaru	3 Armoured Division	Commander	General Officer Commanding	Major General
d732f15f-f54c-4716-9429-8a4a5636c912	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
d76f4d12-8c45-4724-9912-9f698b2929dc	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
d8bf80b6-98be-4bde-86bf-d495503bc984	name	Adamu Baba Abubakar	Adamu Abubakar	82 Division	Commander	General Officer Commanding	Major General
d8c1e434-858d-4f9b-b306-001c9224b9b0	name	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
d9090269-1988-420d-a0fc-2085c0066a92	name	Adamu Aliyu		1 Battalion	Commander	Acting Commanding Officer	Captain
d9ae6e20-eb12-4c81-9286-32756ea33a82	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
d9ae6e20-eb12-4c81-9286-32756ea33a82	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
de94c77e-8b02-4940-980d-f090f1e7a4b3	alias	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	Department of Army Logistics	Commander	Chief of Army Logistics	Major General
de94c77e-8b02-4940-980d-f090f1e7a4b3	alias	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	82 Division	Commander	General Officer Commanding	Major General
de94c77e-8b02-4940-980d-f090f1e7a4b3	alias	Jack Okechukwu Nwaogbo	Jack O. Nwaogbo ; Jack Nwaogbo ; Jack Nwogbo ; Jack Nwaoga ; J. O. Nwaogbo ; Nwoga ; Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
dfb43e98-9ee5-44be-9770-cac6c5e11d17	name	Hassan Umoru	Hassan Umar ; Hassan Umaru ; HA Umaru ; H. Umaru ; H Umaru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
dfb43e98-9ee5-44be-9770-cac6c5e11d17	name	Hassan Umoru	Hassan Umar ; Hassan Umaru ; HA Umaru ; H. Umaru ; H Umaru	3 Armoured Division	Commander	General Officer Commanding	Major General
e12a7970-4bda-477a-b8ee-7dcc64b51bb8	alias	Kenneth Osuji	KC Osuji ; K.C Osuji	1 Mechanised Division	Commander	General Officer Commanding	Major General
e12a7970-4bda-477a-b8ee-7dcc64b51bb8	alias	Moses Obi	MB Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
e20c003f-b64d-4196-87fe-18edbe3c2259	alias	Sanusi Nasir Muazu	Sanusi Muazu ; SN Muazu ; SM Muazu	2 Mechanised Division	Commander	General Officer Commanding	Major General
e408924f-c68f-4723-9b08-1db4172c851e	name	Alexander Ogomudia		Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
e408924f-c68f-4723-9b08-1db4172c851e	name	Alexander Ogomudia		Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
e408924f-c68f-4723-9b08-1db4172c851e	name	Adeniyi Sangotade		82 Division	Commander	General Officer Commanding	Major General
e48764f9-b89b-4ac8-b2a4-6b5d37ffb07d	alias	Ola Sa'ad Ibrahim	Ola Sa'ad Ibrahim ; Ola Ibrahim ; Ole Sa'ad Ibrahim ; Ola Ibrahim Sa'ad ; Ola Saa'ad Ibrahim	Defence Headquarters	Commander	Chief of Defence Staff	Admiral
e4dbed3c-8b08-4325-b239-86d1e9b2f574	name	Chris Olukolade		Defence Headquarters	Director of Defence Information	Director of Defence Information	Major General
e6229f5c-fe49-4fa2-b296-6cbc8ee0013d	name	Chukwunedum Abraham		2 Mechanised Division	Commander	General Officer Commanding	Major General
e6fe5fa5-4cbb-4b19-8ad7-4c47769b745b	alias	John Zaruwa	J.S. Zaruwa ; Zaruwa ; Mohammed Zaruwa ; JS Zaruwa ; JS Zaruw	3 Armoured Division	Commander	General Officer Commanding	Major General
e7542a2c-23f6-4cf9-bf3f-88b92ac16210	name	Sanyel Tizhe		Borno State Police Command	Police Public Relations Officer	Police Public Relations Officer	Assistant Superintendent of Police
e7624061-1fee-47c0-b3ff-d0d5a8800e9b	name	Peter Dauke		3 Armoured Division	Commander	General Officer Commanding	Major General
e94b444c-331b-4c3f-a806-34299fcc4b89	name	Enobong Udoh		81 Division	Commander	General Officer Commanding	Major General
e979fd13-cefc-4081-8386-3726c9576970	name	Adamu Marwa	Adamu Buba Marwa	3 Armoured Division	Commander	General Officer Commanding	Major General
e979fd13-cefc-4081-8386-3726c9576970	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
e979fd13-cefc-4081-8386-3726c9576970	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
eb2bf65d-f637-401e-96b8-beff83e8c912	name	Joseph Owonibi	Owonibi	3 Armoured Division	Commander	General Officer Commanding	Major General
eb2cd201-ee72-4d8c-898b-386a21f9f2bb	alias	Isaac Obiakor	CI Obiakor ; Isaac	2 Mechanised Division	Commander	General Officer Commanding	Major General
eb517afd-319c-4949-9a40-63752bef4001	name	Adamu Abubakar		82 Division	Commander	General Officer Commanding	Major General
edcbbdaf-79fe-4e68-b255-91181e8c5962	name	Chris Olukolade		Defence Headquarters	Director of Defence Information	Director of Defence Information	Major General
edcbbdaf-79fe-4e68-b255-91181e8c5962	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
edcbbdaf-79fe-4e68-b255-91181e8c5962	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
eeb8a422-93b2-456f-8874-68eedeace90c	name	Ibrahim Attahiru	I. Attahiru ; I Attahiru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
eeb8a422-93b2-456f-8874-68eedeace90c	name	Lucky Irabor		Operation Lafiya Dole	Commander	Theatre Commander	Major General
eeb8a422-93b2-456f-8874-68eedeace90c	name	Lucky Irabor		Multinational Joint Task Force	Commander	Force Commander	Major General
ef0096ed-e1db-4c3e-b8a3-259c9bec5063	name	Ahmed Tijani Jibrin	AT Jibrin ; A. T Jibrin ; Ahmad Jibrin	2 Mechanised Division	Commander	General Officer Commanding	Major General
ef0096ed-e1db-4c3e-b8a3-259c9bec5063	name	Emmanuel Abejirin	EF Abejirin ; E.F. Abejerin	2 Mechanised Division	Commander	General Officer Commanding	Major General
efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e	name	L.C. Ilo	LC Ilo	2 Mechanised Division	Commander	General Officer Commanding	Major General
efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
f1f26a4f-10e2-4ce4-a00d-bf614c1efefb	name	Texas Chukwu		Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
f22167e9-0586-44c4-9690-d3a46fd769d0	name	Saleh Maina	S. Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	name	Lawrence Ngubane		2 Mechanised Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Mohammad Danhanne Issa	Mohammed D. Isah ; Mohammed Isah ; MD Isah	82 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Sakin-Yaki Bello	Sakin Yakin-Bello ; SY Bello ; Sarkin-Yaki Bello ; Y. Bello ; Sarikiyaki Bello ; Sarkin Yakin Bello ; Sarki Bello ; Seriki Yaki Bello ; Sarkin Bello ; Sarki-Yaki Bello ; Sarkin Yaki-Bello ; Sarki Y. Bello	82 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Emeka CG Nwanguna	Eugene Nwanguma ; Eugene Nwanjuma	81 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	81 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Mohammed Abubakar	MD Abubakar ; M.D. Abubakar ; M.D Abubakar ; MD Mohammed	2 Mechanised Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Joseph Shoboiki	J.O Shoboiki ; Shoboiki ; J.O Shobeke	1 Mechanised Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Kamaldeen Role	KA Role	1 Mechanised Division	Commander	General Officer Commanding	Major General
f3dd4b96-e621-4a6f-a3bb-b74d8f7364db	alias	Obi Abel Umahi	Obi Abel Omahi;Obi A. Umahi;Obi Omahi;Abel Umahi;Obi Umahie;OA Umahi;Obi Umahi;Unahi Obi	81 Division	Commander	General Officer Commanding	Major General
f3ea7c54-9938-4532-9bd9-5cf1b7dceb10	name	Ita Selong		Patani Police Division	Commander	Divisional Police Officer	Superintendent
f4888dff-c139-4938-80b2-4d864725007f	name	Ahmadu Mohammed	Mohammed Abdulkadir ; Abdulkadir ; A Mohammed	7 Division	Commander	General Officer Commanding	Major General
f4888dff-c139-4938-80b2-4d864725007f	name	Obida T. Ethnan	Obidah T. Ethan ; Obidah Ethan ; O. T. Etan ; OT Ethan	7 Division	Commander	General Officer Commanding	Major General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	name	Abubakar Ibrahim		3 Armoured Division Garrison	Chief of Staff	Chief of Staff	Brigadier General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	name	Aliyu Abdullahi		3 Armoured Division	Chief of Staff	Chief of Staff	Brigadier General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	name	Benjamin Ahanotu (3 Armoured Division)		3 Armoured Division	Commander	General Officer Commanding	Major General
fb5b60cc-ac5d-4bce-80d3-ab0e8579af04	name	Aba Popoola	ABA Popoola ; Popoola	23 Armoured Brigade	Commander	Acting Commander	Colonel
fc540839-d2cf-4752-a913-6012fb15e9aa	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	81 Division	Commander	General Officer Commanding	Major General
fe91aabe-38b0-458d-8a55-8032b0e40ed1	alias	Jack Okechukwu Nwaogbo	Jack O. Nwaogbo ; Jack Nwaogbo ; Jack Nwogbo ; Jack Nwaoga ; J. O. Nwaogbo ; Nwoga ; Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
fe91aabe-38b0-458d-8a55-8032b0e40ed1	alias	Garba Ayodele Wahab	GA Wahab ; Garba Wahab ; Gani Wahab ; Garba A. Wahab	1 Mechanised Division	Commander	General Officer Commanding	Major General
